freq	siec	plant_tec	operator	unit	geo\TIME_PERIOD	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	AT	10347	10442	10521	10447	10500	10577	10654	10809	10961	10945	11055	11028	10965	11004	11040	11258.985	11283.113	11445.085	11897.846	12081.646	12346.625	12642.227	12773.726	12848.233	12997.089	13112.909	13570.598	13717.985	14088.138	14162	14199.268	14313.602	14492.012	14536.454
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2049	2055	2084	2211	2235.6	2238.84	2248.79	2256.78	2258.49	2262.48
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	BE	1401	1401	1401	1402	1402	1403	1403	1403	1404	1410	1413	1421	1421	1420	1425	1412	1414	1417	1418	1417	1425	1426	1427	1426	1428	1419	1416.1	1414	1414.8	1411.1	1412.8	1417.7	1430.3	1431.3
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	BG	1975	1975	1975	1975	1975	1975	1975	2383	2388	2394	1880	1705	1948	2515	2848	2848	2848	2876	2984	3001	3048	3108	3181	3203	3219	3219	3223	3371.55	3379	3378.35	3376.456	3369.233	3348.185	3350.28
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	CY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	CZ	1359	1359	1371	1371	1367	1369	1984	1976	1979	2000	2003	2006	2010	2026	2005	2012	2012	2020	2023	2023	2023	2023	2029	2064	2062	2069	2071	2080.89	2080.598	2080.955	2081.012	2100.775	2100.007	2148.13
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	DE	7641	8033	8089	8140	8320	8351	8467	8382	8442	8765	9485	9393	9504	9188	10029	10779	10757	10754	10726	11158	11144	11367	11185	11197	11190	11212	11164	11078	10652	10698	10773	10809	10888	10916
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	DK	10	9	10	10	9	10	10	10	11	11	10	11	11	11	11	11	9	9	9	9	9	9	9	9	9	6.878	9.267	7.153	7.153	7.163	7.163	7.123	7.123	7.091
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	EE	0	0	0	0	0	1	1	1	1	1	2	2	3	4	4	5	5	5	5	7	6	5	8	8	5	6	6	7.3	7.3	6	8	6	8	10
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	EL	2408	2512	2523	2523	2523	2523	2522	2727	2856	2959	3072	3076	3078	3079	3099	3106	3134	3150	3176	3201	3215	3224	3236	3238	3389	3392	3392	3392	3409	3412	3417	3421	3421	3459
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	ES	14903	14986	15041	15041	15176	15988	16238	16111	16031	16275	17589	17661	17697	17777	17897	17940	18037	18082	18159	18184	18212	18197	18207	18818	18856	19686	19711	19710	19710.572	19744.667	19747.592	19763.368	19768.093	19771.211
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	FI	2621	2648	2679	2731	2736	2777	2785	2861	2881	2881	2687	2731	2769	2771	2804	2840	2867	2907	2811	2834	2844	2885	2913	2922	2946	2947	2947	2968	2963	2949	2959	2989	2989	2987
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	FR	22953	23019	23101	23106	23122	23111	23146	23161	23166	23077	24987	25013	25099	25036	24923	24939	24949	24965	24932	25013	25222	25452.357	25467.83	25456.649	25396.603	25367.355	25434.546	25516.797	25541.58	25673.477	25759.391	25795.33	25763.887	26116.138
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3041.91	3097.031
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	HR	2046	2046	2046	2049	2049	2060	2067	2067	2067	2067	2067	2067	2054	2064	2071	2061	2061	2061	2061	2078	2127	2127	2127	2176	2178.1	2192.1	2189.1	2190.3	2196.8	2197	2197.2	2198.2	2203.4	2189.9
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	HU	48	48	48	48	48	48	48	48	48	48	48	48	48	54	49	49	49	49	51	53	53	55	56	57	57	57	57	57	57	58	58	60	60	60
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	IE	513	516	516	516	517	517	522	525	525	528	528	530	532	532	532	526	526	526	526	526	237	237	529	529	529	529	529	529	529	529	529	529	529	529
