DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2004,8.345,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2005,8.444,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2006,9.156,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2007,9.667,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2008,10.744,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2009,12.958,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2010,13.782,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2011,13.176,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2012,14.239,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2013,15.081,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2014,15.879,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2015,16.221,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2016,17.015,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2017,17.118,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2018,17.023,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2019,17.852,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2020,21.22,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2021,20.55,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2022,21.896,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,ES,2023,24.852,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2004,9.605,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2005,10.182,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2006,10.778,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2007,11.749,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2008,12.552,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2009,13.85,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2010,14.405,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2011,14.547,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2012,16.002,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2013,16.659,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2014,17.416,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2015,17.82,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2016,17.978,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2017,18.411,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2018,19.096,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2019,19.887,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2020,22.038,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2021,21.894,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2022,23.058,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EU27_2020,2023,24.554,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2004,29.232,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2005,28.814,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2006,30.043,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2007,29.561,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2008,31.071,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2009,31.045,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2010,32.166,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2011,32.532,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,FI,2012,34.222,,
