STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2018,,2.96,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2019,,2.89,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2020,,2.75,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2021,,2.83,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2022,,2.78,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2023,,2.61,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2014,,15.58,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2015,,16.56,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2016,,16.75,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2017,,16.41,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2018,,15.91,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2019,,16.17,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2020,,14.44,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2021,,15.17,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2022,,16.11,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EL,Greece,2023,,15.73,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2014,,78.57,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2015,,80.22,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2016,,82.07,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2017,,84.39,,,,,
