DATAFLOW,LAST UPDATE,freq,network,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,HR,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,HR,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,HU,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,HU,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,HU,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IS,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IS,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IT,2021,62.976,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IT,2022,86.840,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,IT,2023,79.402,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,LT,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,LT,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,LT,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,LU,2021,0.000,,
